name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
VODKA BRANDS CORP,VDKB,1620053,92858P104,OTC,True,Domestic Common Stock,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Pennsylvania; U.S.A,894c8d8d467a49a9128e9ae058bcb9b3
VIRTGAME COM CORP,VGTI,1040022,92826G103,OTC,True,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,d6846f3682cca3fd7277de6e9b19356e
VANGUARD NATURAL RESOURCES INC,VNRRQ,1384072,91828V308,OTC,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,77546c39ed9990fb688b19ebf92f905c
VIRTUS OIL & GAS CORP,VOIL,1478725,92834V100 92834V209,OTC,True,Domestic Common Stock,Energy,Oil & Gas Drilling,1381,Mining,Drilling Oil & Gas Wells,,Petroleum and Natural Gas,USD,Texas; U.S.A,a0cfa8d509439129de1c2a158a0707f0
VITROTECH CORP,VROT,1164155,92851M108,OTC,True,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,California; U.S.A,c9efb78333aa0931c48dbad8543bfb8a
VISCOUNT SYSTEMS INC,VSYS,1158387,92829M107,OTC,True,Domestic Common Stock,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,CAD,British Columbia; Canada,b2dec0ae40a069eb21264c34b3a7dfe4
WILSON BANK HOLDING CO,WBHC,885275,972028104,OTC,True,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Tennessee; U.S.A,f09a8f1fa8ba2ffb4617c917c88dae42
WONHE HIGH-TECH INTERNATIONAL INC,WHHT,1434388,978196103,OTC,True,Domestic Common Stock,Technology,Computer Hardware,3577,Manufacturing,Computer Peripheral Equipment Nec,,Computers,USD,China,4c3cb1b046f58ea85069ee21f5e79d20
WLG INC,WKOL,1283236,931121107,OTC,True,Domestic Common Stock,Industrials,Integrated Freight & Logistics,4731,Transportation Communications Electric Gas And Sanitary Service,Arrangement Of Transportation Of Freight & Cargo,,Transportation,USD,Illinois; U.S.A,74180fd7e31ead85305b8022bd4af71f
WOODSTOCK HOLDINGS INC,WSFL,1095373,980333108 980333207,OTC,True,Domestic Common Stock,Financial Services,Capital Markets,6211,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,,Trading,USD,Georgia; U.S.A,f2b3622a6ff0e6056171b6a02549ac0a
